UNIQUE-ID	NAME	REACTION-EQUATION	PATHWAYS	PATHWAYS	PATHWAYS	PATHWAYS	COFACTORS	COFACTORS	COFACTORS	COFACTORS	ACTIVATORS	ACTIVATORS	ACTIVATORS	ACTIVATORS	INHIBITORS	INHIBITORS	INHIBITORS	INHIBITORS	SUBUNIT-COMPOSITION
MALATESYN-ENZRXN	malate synthase A	acetyl-CoA + glyoxylate + H2O  <-->  (S)-malate + coenzyme A + H+	GLYOXDEG-PWY	GLYOXYLATE-BYPASS			MG+2												1*MALATE-SYNTHASE
CHEBTAPD-ENZRXN	protein-glutamine glutaminase	Tapgln + H2O  <-->  ammonia + Tapglu																	1*PHOSPHO-CHEB
ENZRXN0-8566	protein-histidine autokinase	a [protein]-L-histidine + ATP  <-->  a [protein]-N-phospho-L-histidine + ADP + H+																	2*PHOR-MONOMER
ENZRXN0-7786	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase	5-amino-6-(5-phospho-D-ribitylamino)uracil + H2O  <-->  5-amino-6-(D-ribitylamino)uracil + phosphate	RIBOSYN2-PWY				MG+2												1*EG11202-MONOMER
ENZRXN0-7331	phenylalanine transaminase	L-phenylalanine + 2-oxoglutarate  <-->  3-phenyl-2-oxopropanoate + L-glutamate	PHESYN																6*BRANCHED-CHAINAMINOTRANSFER-MONOMER
ENZRXN0-8257	enoyl-CoA hydratase	(S)-3-hydroxy-(7Z)-hexadecenoyl-CoA  <-->  (2E,7Z)-hexadec-2,7-dienoyl-CoA + H2O	PWY0-1337																1*FADB-MONOMER
ENZRXN0-3121	fructokinase	beta-D-fructofuranose + ATP  <-->  beta-D-fructofuranose 6-phosphate + ADP + H+					MG+2												1*EG11288-MONOMER
PHOSMANMUT-ENZRXN	phosphomannomutase	alpha-D-mannose 1-phosphate  <-->  D-mannopyranose 6-phosphate	PWY-5659																1*PHOSMANMUT-MONOMER
ENZRXN0-5343	4-aminobutyrate aminotransferase	2-oxoglutarate + 4-aminobutanoate  <-->  L-glutamate + succinate semialdehyde	PWY-6537	PWY-6535			PYRIDOXAL_PHOSPHATE												1*G6646-MONOMER
BIOTINLIG-ENZRXN	biotin-[acetyl-CoA-carboxylase] ligase	a [biotin carboxyl-carrier protein]-L-lysine + ATP + biotin  <-->  AMP + a [biotin carboxyl-carrier protein]-N6-biotinyl-L-lysine + diphosphate + H+	PWY0-1264				MG+2												1*BIOTINLIG-MONOMER
ENZRXN-29355	thiol:disulfide oxidoreductase CcmG	a CcmH-CcmG disulfide  <-->  a CcmG protein with an internal disulfide bridge + a CcmH protein with reduced cysteine residues	PWY-8147																1*EG12053-MONOMER
ENZRXN0-8547	ATP-dependent 3' &rarr; 5" helicase	ATP + a supercoiled duplex DNA + H2O  <-->  ADP + 2 a single stranded DNA + phosphate + H+					MG+2												1*EG10833-MONOMER
LAUROYLACYLTRAN-ENZRXN	lauroyl acyltransferase	a dodecanoyl-[acp] + alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid IVA (E. coli)  <-->  alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-(lauroyl)-lipid IVA (E. coli) + acyl-carrier protein	KDO-LIPASYN-PWY	KDO-NAGLIPASYN-PWY															1*LAUROYLACYLTRAN-MONOMER
ENZRXN0-7259	mRNA interferase	an mRNA + H2O  <-->  2 an mRNA fragment																	1*G7572-MONOMER
ENZRXN0-7764	2'-deoxyribonucleoside 3'-monophosphate phosphatase	a 2'-deoxyribonucleoside 3'-monophosphate[periplasm] + H2O[periplasm]  <-->  a 2'-deoxyribonucleoside[periplasm] + phosphate[periplasm]																	4*APHA-MONOMER
PFRUCTPHOS-ENZRXN	6-phosphofructokinase	beta-D-fructofuranose 6-phosphate + ATP  <-->  ADP + beta-D-fructofuranose 1,6-bisphosphate + H+	GLYCOLYSIS	PWY-5484			MG+2								#<"ATP" instance frame in ECOBASE[F] @ #x1001c944452>				2*6PFK-2-MONOMER
ENZRXN0-7911	pyruvate formate-lyase activating enzyme	TdcE + a reduced flavodoxin + S-adenosyl-L-methionine  <-->  5'-deoxyadenosine + activated 2-ketobutyrate formate-lyase / pyruvate formate-lyase 4 + an oxidized flavodoxin					CPD-7												1*PFLACTENZ-MONOMER
ENZRXN0-2923	phospholipase A1	a phosphatidylethanolamine[periplasm] + H2O[periplasm]  <-->  a 1-lysophosphatidylethanolamine[periplasm] + a fatty acid[periplasm] + H+[periplasm]					CA+2												2*MONOMER0-341
ENZRXN0-8355	glutaredoxin	a protein with a disulfide bond + 2 glutathione  <-->  glutathione disulfide + a protein with reduced L-cysteine residues																	1*GRXC-MONOMER
7-ALPHA-HYDROXYSTEROID-DEH-ENZRXN	7-&alpha;-hydroxysteroid dehydrogenase	cholate + NAD+  <-->  3alpha,12alpha-dihydroxy-7-oxo-5beta-cholan-24-oate + NADH + H+																	4*7-ALPHA-HYDROXYSTEROID-DEH-MONOMER
ENZRXN0-4983	HMP-PP hydrolase	4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine + H2O  <-->  4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + phosphate + H+																	1*G6246-MONOMER
ENZRXN0-8395	muramoylpentapeptide carboxypeptidase	UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP-D-Ala-D-Ala[periplasm] + H2O[periplasm]  <-->  UDP-MurNAc-L-Ala-gamma-D-Glu-meso-DAP-D-Ala[periplasm] + D-alanine[periplasm]																	2*EG10201-MONOMER
ASNSYNB-ENZRXN	L-aspartate:L-glutamine amido-ligase (AMP-forming)	L-glutamine + L-aspartate + ATP + H2O  <-->  L-glutamate + L-asparagine + AMP + diphosphate + H+	ASPARAGINE-BIOSYNTHESIS				MG+2												2*ASNSYNB-MONOMER
ENZRXN0-8528	peptidyl-lysine <i>N</i>-acetyltransferase	a [protein]-L-lysine + acetyl-CoA  <-->  a [protein]-N6-acetyl-L-lysine + coenzyme A + H+																	1*EG11207-MONOMER
ENZRXN-25457	tRNA uridine 4-sulfurtransferase	a [ThiI sulfur-carrier protein]-S-sulfanyl-L-cysteine + a uracil in tRNA + ATP + 2 a reduced ferredoxin [iron-sulfur] cluster + H+  <-->  a 4-thiouracil in tRNA + a [ThiI sulfur-carrier protein]-L-cysteine + AMP + 2 an oxidized ferredoxin [iron-sulfur] cluster + diphosphate					MG+2												1*THII-MONOMER
ENZRXN0-6623	metallopeptidase	TsaD  <-->  TsaD degradation products					ZN+2												1*G6991-MONOMER
ISOCITDEH-ENZRXN	isocitrate dehydrogenase	D-threo-isocitrate + NADP+  <-->  2-oxoglutarate + CO2 + NADPH	FERMENTATION-PWY	TCA			MN+2												2*ISOCITDEH-SUBUNIT
ENZRXN0-12515	FMN reductase	FMNH2 + NAD+  <-->  FMN + NADH + 2 H+																	1*G6518-MONOMER
ENZRXN0-7742	NADP<sup>+</sup> phosphatase	NADP+[periplasm] + H2O[periplasm]  <-->  NAD+[periplasm] + phosphate[periplasm]	NADPHOS-DEPHOS-PWY																2*ALKAPHOSPHA-MONOMER
PABASYN-ENZRXN	4-amino-4-deoxychorismate synthase	L-glutamine + chorismate  <-->  4-amino-4-deoxychorismate + L-glutamate	PWY-6543				MG+2												1*PABASYN-COMPI-MONOMER,1*PABASYN-COMPII-MONOMER
ENZRXN0-7891	3' &rarr; 5' ssDNA exonuclease	[DNA] + H2O  <-->  (deoxynucleotides)(n-1) + a 2'-deoxyribonucleoside 5'-monophosphate					MG+2												1*EG11481-MONOMER
ENZRXN0-278	alkanesulfonate monooxygenase	an alkylsulfonate + FMNH2 + dioxygen  <-->  an aldehyde + sulfite + FMN + H2O + 2 H+	ALKANEMONOX-PWY																4*MONOMER-162
ENZRXN0-8339	thymidine phosphorylase	thymidine + phosphate  <-->  2-deoxy-alpha-D-ribose 1-phosphate + thymine	PWY-7181	PWY0-181															2*EG12159-MONOMER
3-NUCLEOTID-ENZRXN	3'-nucleotidase	a ribonucleoside 3'-phosphate[periplasm] + H2O[periplasm]  <-->  a ribonucleoside[periplasm] + phosphate[periplasm]																	1*CPDB-MONOMER
ENZRXN0-4761	D-alanyl-D-alanine carboxypeptidase	a nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide[periplasm] + H2O[periplasm]  <-->  a nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide[periplasm] + D-alanine[periplasm]	PWY0-1586																2*EG10201-MONOMER
ENZRXN0-8371	N1-methyladenine demethylase	an N1-methyladenine in DNA + 2-oxoglutarate + dioxygen  <-->  an adenine in DNA + CO2 + formaldehyde + succinate					FE+2								#<"SUC" instance frame in ECOBASE[F] @ #x1001e3fa6a2>	#<"FUM" instance frame in ECOBASE[F] @ #x1001e3fa6d2>			1*EG10037-MONOMER
AMINEPHEN-ENZRXN	phenylethylamine oxidase	2-phenylethylamine[periplasm] + H2O[periplasm] + dioxygen[periplasm]  <-->  phenylacetaldehyde[periplasm] + ammonium[periplasm] + hydrogen peroxide[periplasm]	2PHENDEG-PWY				TOPAQUINONE	CU+2											2*AMINEOXID-MONOMER
ENZRXN0-6405	allothreonine acetaldehyde-lyase (glycine-forming)	DL-allothreonine  <-->  acetaldehyde + glycine					PYRIDOXAL_PHOSPHATE												2*GLYOHMETRANS-MONOMER
ENZRXN0-8504	S-adenosyl-L-methionine:glutathione methyltransferase	S-adenosyl-L-methionine + glutathione  <-->  S-methylglutathione + S-adenosyl-L-homocysteine + H+																	1*CHER-MONOMER
HYDROPEROXIDII-ENZRXN	catalase	2 hydrogen peroxide  <-->  2 H2O + dioxygen	DETOX1-PWY				CPD-23429												4*HYDROPEROXIDII-MONOMER
ENZRXN0-12498	DNA-N<sup>7</sup>-methyguanine glycosylase	an N7-methylguanine in DNA + H2O  <-->  a DNA containing an apurinic/apyrimidinic site + N7-methylguanine + H+																	1*G6471-MONOMER
ENZRXN0-7726	UMP phosphatase	UMP[periplasm] + H2O[periplasm]  <-->  uridine[periplasm] + phosphate[periplasm]																	2*ALKAPHOSPHA-MONOMER
ENZRXN0-7726	UMP phosphatase	UMP + H2O  <-->  uridine + phosphate																	2*ALKAPHOSPHA-MONOMER
O-SUCCINYLBENZOATE-COA-LIG-ENZRXN	<i>o</i>-succinylbenzoate&mdash;CoA ligase	ATP + 2-succinylbenzoate + coenzyme A  <-->  AMP + 4-(2'-carboxyphenyl)-4-oxobutyryl-CoA + diphosphate	PWY-5837				MG+2												4*O-SUCCINYLBENZOATE-COA-LIG-MONOMER
XYLISOM-ENZRXN	xylose isomerase	alpha-D-xylopyranose  <-->  alpha-D-xylulofuranose	XYLCAT-PWY				MG+2	MN+2											2*XYLISOM-MONOMER
ENZRXN0-2703	peptidyl-prolyl <i>cis-trans</i> isomerase	a [protein]-L-proline (omega = 180)[periplasm]  <-->  a [protein]-L-proline (omega = 0)[periplasm]																	1*EG10757-MONOMER
ENZRXN0-7859	2-keto-3-deoxy-D-gluconate dehydrogenase	2-dehydro-3-deoxy-D-gluconate + NAD+  <-->  3-deoxy-D-glycero-2,5-hexodiulosonate + NADH + H+																	1*KDUD-MONOMER
ENZRXN0-8323	glycolaldehyde reductase	ethylene glycol + NAD+  <-->  glycolaldehyde + NADH + H+																	2*G7564-MONOMER
ENZRXN-23127	(<i>S</i>)-3-hydroxybutanoyl-CoA thioesterase	(S)-3-hydroxybutanoyl-CoA + H2O  <-->  (S)-3-hydroxybutanoate + coenzyme A + H+																	4*THIOESTERII-MONOMER
ENZRXN0-4421	tripeptide aminopeptidase	a tripeptide + H2O  <-->  a dipeptide + a proteinogenic amino acid																	2*EG11549-MONOMER
HISTCYCLOHYD-ENZRXN	phosphoribosyl-AMP cyclohydrolase	1-(5-phospho-beta-D-ribosyl)-AMP + H2O  <-->  1-(5-phospho-beta-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	HISTSYN-PWY																1*HISTCYCLOPRATPPHOS
AGMATIN-ENZRXN	agmatinase	agmatine + H2O  <-->  urea + putrescine	PWY-40	PWY0-823			MN+2												2*AGMATIN-MONOMER
ENZRXN0-7699	nucleoside monophosphate phosphatase	a nucleoside 5'-monophosphate[periplasm] + H2O[periplasm]  <-->  a nucleoside[periplasm] + phosphate[periplasm]																	4*APHA-MONOMER
ENZRXN0-8486	ppGpp phosphohydrolase	ppGpp + 2 H2O  <-->  pGp + 2 phosphate + 2 H+																	1*G6954-MONOMER
ENZRXN0-6586	D-alanyl-D-alanine carboxypeptidase	a nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide[periplasm] + H2O[periplasm]  <-->  a nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide[periplasm] + D-alanine[periplasm]	PWY0-1586																2*EG10203-MONOMER
ENZRXN0-2601	phenylacetyl-CoA 1,2-epoxidase	phenylacetyl-CoA + NADPH + dioxygen + H+  <-->  2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA + NADP+ + H2O	PWY0-321				CPD-6	FAD											1*G6713-MONOMER,1*G6709-MONOMER,1*G6711-MONOMER,1*G6710-MONOMER
ENZRXN0-12481	DNA-5'-terminal deoxyribophosphodiesterase	a 5'-deoxyribose-5-phosphate-[DNA]  <-->  a 5'-phospho-[DNA] + 4-hydroxy-2-pentenal-5-phosphate + H+																	1*EG10329-MONOMER
NADPPHOSPHAT-ENZRXN	NADP phosphatase	NADP+ + H2O  <-->  NAD+ + phosphate	NADPHOS-DEPHOS-PWY																1*NADPPHOSPHAT-MONOMER
ENZRXN-2014	resolvasome	DNA combined with exogenous DNA to form a recombinational junction + H2O  <-->  resolution of recombinational junction formation of two intact strands																	2*EG10925-MONOMER,12*EG10924-MONOMER,4*EG10923-MONOMER
UDPNACETYLMURAMATEDEHYDROG-ENZRXN	UDP-<i>N</i>-acetylenolpyruvoylglucosamine reductase	UDP-N-acetyl-alpha-D-muramate + NADP+  <-->  UDP-N-acetyl-alpha-D-glucosamine-enolpyruvate + NADPH + H+	PWY0-1261	PWY-6387			FAD												1*UDPNACETYLMURAMATEDEHYDROG-MONOMER
GTPPYPHOSKIN-ENZRXN	GTP pyrophosphokinase	GTP + ATP  <-->  pppGpp + AMP + H+	PPGPPMET-PWY																1*RELA-MONOMER
ENZRXN0-784	UTP reductase	formate + UTP + H+  <-->  dUTP + CO2 + H2O	PWY-7187	PWY0-166															2*RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER
ENZRXN0-7680	maltodextrin phosphorylase	maltoheptaose + phosphate  <-->  maltohexaose + alpha-D-glucopyranose 1-phosphate					PYRIDOXAL_PHOSPHATE												2*MALDEXPHOSPHORYL-MONOMER
ENZRXN0-8304	methylphosphotriester-DNA-protein-cysteine S methyltransferase	a DNA methyl phosphotriester + a [protein]-L-cysteine  <-->  [DNA] + a [protein]-S-methyl-L-cysteine + H+																	1*PD00230
ENZRXN0-4141	apo-citrate lyase phosphoribosyl-dephospho-CoA transferase	2'-(5''-triphospho-alpha-D-ribosyl)-3'-dephospho-CoA + an apo [citrate-lyase acyl-carrier protein]  <-->  a holo [citrate lyase acyl-carrier protein] + diphosphate	P2-PWY																1*G6340-MONOMER
ENZRXN0-8169	gluconate 6-phosphate phosphatase	D-gluconate 6-phosphate[periplasm] + H2O[periplasm]  <-->  D-gluconate[periplasm] + phosphate[periplasm]																	2*ALKAPHOSPHA-MONOMER
ACYLACPSYNTH-ENZRXN	acyl-ACP synthetase	ATP + acyl-carrier protein + a 2,3,4-saturated fatty acid  <-->  AMP + a 2,3,4-saturated fatty acyl-[acp] + diphosphate					MG+2												1*AAS-MONOMER
ENZRXN0-255	alkyl hydroperoxide reductase	an organic hydroperoxide + NADH + H+  <-->  an alcohol + NAD+ + H2O					FAD												10*EG11384-MONOMER,2*EG11385-MONOMER
ENZRXN0-8469	AMP nucleosidase	AMP + H2O  <-->  D-ribofuranose 5-phosphate + adenine	PWY-6617																4*EG12373-MONOMER
ENZRXN0-6556	L,D-transpeptidase	a murein lipoprotein[outer membrane] + a peptidoglycan internal segment with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide[periplasm]  <-->  a peptidoglycan tripeptide crosslinked to murein lipoprotein[periplasm] + D-alanine[periplasm]																	1*G6571-MONOMER
ENZRXN-19186	isoprimeverose &alpha;-xylosidase	isoprimeverose + H2O  <-->  D-glucopyranose + alpha-D-xylopyranose																	6*EG11685-MONOMER
ENZRXN0-1201	nucleoside triphosphate pyrophosphohydrolase	a nucleoside triphosphate + H2O  <-->  a nucleoside 5'-monophosphate + diphosphate + H+					MG+2												2*EG10572-MONOMER
GLYRIBONUCSYN-ENZRXN	phosphoribosylamine&mdash;glycine ligase	ATP + 5-phospho-beta-D-ribosylamine + glycine  <-->  ADP + N1-(5-phospho-beta-D-ribosyl)glycinamide + phosphate + H+	PWY-6122	PWY-6121	PWY-6277														1*GLYCRIBONUCSYN-MONOMER
MHPDHYDROL-ENZRXN	2-oxopent-4-enoate hydratase	(S)-4-hydroxy-2-oxopentanoate  <-->  (2Z)-2-hydroxypenta-2,4-dienoate + H2O	PWY-5162				MN+2												5*MHPDHYDROL-MONOMER
ENZRXN0-7662	glycerophosphoglycerol phosphodiesterase	glycerophosphoglycerol + H2O  <-->  glycerol + sn-glycerol 3-phosphate + H+					MG+2												1*GLYCPDIESTER-CYTO-MONOMER
TYRAMINOTRANS-ENZRXN	tyrosine aminotransferase	L-tyrosine + 2-oxoglutarate  <-->  3-(4-hydroxyphenyl)pyruvate + L-glutamate	TYRSYN				PYRIDOXAL_PHOSPHATE								#<"2-KETO-ISOVALERATE" instance frame in ECOBASE[F] @ #x1001c931402>				2*TYRB-MONOMER
ENZRXN0-7821	6-deoxy-6-sulfofructose kinase	6-deoxy-6-sulfo-D-fructose + ATP  <-->  6-deoxy-6-sulfo-D-fructose 1-phosphate + ADP + H+	PWY-7446																1*EG11848-MONOMER
ENZRXN0-8287	3-ketoacyl-CoA thiolase	(5Z)-tetradecenoyl-CoA + acetyl-CoA  <-->  3-oxo-(7Z)-hexadecenoyl-CoA + coenzyme A	PWY0-1337																1*FADA-MONOMER
ENZRXN0-3881	16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase	adenine1518/adenine1519 in 16S rRNA + 4 S-adenosyl-L-methionine  <-->  N6-dimethyladenine1518/N6-dimethyladenine1519in 16S rRNA + 4 S-adenosyl-L-homocysteine + 4 H+					MG+2												1*EG10523-MONOMER
ENZRXN0-6312	Ap<sub>4</sub>A synthetase	2 ATP + H+  <-->  P1,P4-bis(5'-adenosyl) tetraphosphate + diphosphate					MG+2	LYS											2*LYSU-MONOMER
ACETYL-COA-ACETYLTRANSFER-ENZRXN	acetyl-CoA acetyltransferase	2 acetyl-CoA  <-->  acetoacetyl-CoA + coenzyme A	PWY0-1337	ACETOACETATE-DEG-PWY															4*ACETYL-COA-ACETYLTRANSFER-MONOMER
ENZRXN-17869	3-hydroxyglutaryl-[acp] methyl ester dehydratase	a (3R)-3-hydroxyglutaryl-[acp] methyl ester  <-->  a (2E)-enoylglutaryl-[acp] methyl ester + H2O	PWY-6519																6*FABZ-MONOMER
ENZRXN0-8451	UDP kinase	UDP + ATP  <-->  UTP + ADP	PWY-7176																1*ADENYL-KIN-MONOMER
GLYCDEH-ENZRXN	glycerol dehydrogenase	glycerol + NAD+  <-->  dihydroxyacetone + NADH + H+	GLYCEROLMETAB-PWY																8*GLYCDEH-MONOMER
ENZRXN0-6527	L-2-hydroxyglutarate dehydrogenase	(S)-2-hydroxyglutarate + an electron-transfer quinone  <-->  2-oxoglutarate + an electron-transfer quinol	PWY0-461				FAD												1*EG12387-MONOMER
ENZRXN0-7643	cysteine sulfinate desulfinase	3-sulfino-L-alanine + H2O  <-->  L-alanine + sulfite + H+					PYRIDOXAL_PHOSPHATE												2*G6906-MONOMER
ENZRXN-9962	arsenate reductase	arsenate + a reduced glutaredoxin + glutathione + 2 H+  <-->  arsenous acid + a [glutaredoxin]-glutathione disulfide + H2O	PWY-4621																1*EG12237-MONOMER
MCPMETEST-ENZRXN	protein-glutamate methylesterase	a [protein]-L-glutamate-O5-methyl-ester + H2O  <-->  a [protein]-alpha-L-glutamate + methanol + H+																	1*PHOSPHO-CHEB
ENZRXN0-8129	poly-3-hydroxybutyrate synthase	(3R)-3-hydroxybutanoyl-CoA[periplasmic space] + [(R)-3-hydroxybutanoate]n[periplasmic space]  <-->  [(R)-3-hydroxybutanoate](n+1)[periplasmic space] + coenzyme A[periplasmic space]																	1*YDCS-MONOMER
ENZRXN0-242	guanine deaminase	guanine + H+ + H2O  <-->  ammonium + xanthine	PWY-6608				ZN+2												1*G7502-MONOMER
ENZRXN0-7805	tellurite reductase	tellurite + a reduced two electron carrier  <-->  Te0 + an oxidized electron carrier																	2*NARG-MONOMER,2*NARH-MONOMER,2*NARI-MONOMER
ENZRXN0-6292	alanine racemase	L-alanine  <-->  D-alanine	PWY-8072	ALADEG-PWY			PYRIDOXAL_PHOSPHATE												2*ALARACEBIOSYN-MONOMER
ENZRXN0-8271	enoyl-CoA hydratase	(S)-3-hydroxy-(9Z)-hexadecenoyl-CoA  <-->  (2E,9Z)-hexadec-2,9-enoyl-CoA + H2O																	1*G7212-MONOMER
ENZRXN-153	biotin sulfoxide reductase	d-biotin d-sulfoxide + a reduced thioredoxin  <-->  an oxidized thioredoxin + biotin + H2O					CPD-15873												1*EG10124-MONOMER
ENZRXN0-3507	<i>N</i>-acetylmuramoyl-L-alanine amidase	peptidoglycan dimer with pentapeptide stems (meso-diaminopimelate containing)[periplasm] + H2O[periplasm]  <-->  peptidoglycan dimer with a single pentapeptide stem (meso-diaminopimelate containing)[periplasm] + L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine[periplasm]									#<"G7484-MONOMER" instance frame in ECOBASE[F] @ #x10024073ad2>	#<"EG12111-MONOMER" instance frame in ECOBASE[F] @ #x10023dbf942>							1*G7458-MONOMER
GLUCUROISOM-ENZRXN	D-glucuronate isomerase	aldehydo-D-glucuronate  <-->  D-fructuronate	PWY-7247				ZN+2												1*UXAC-MONOMER
ENZRXN0-7624	peptidoglycan D,D-endopeptidase	a mature peptidoglycan with D,D cross-links (meso-diaminopimelate containing)[periplasm] + H2O[periplasm]  <-->  a peptidoglycan internal segment with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide[periplasm] + a mature peptidoglycan (with L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine tetrapeptide)[periplasm]																	1*EG10013-MONOMER
ENZRXN0-2061	diadenosine tetraphosphatase	P1,P4-bis(5'-adenosyl) tetraphosphate + H2O  <-->  2 ADP + 2 H+																	1*EG10048-MONOMER
ENZRXN-30208	lipopolysaccharide core heptosyltransferase	ADP-L-glycero-beta-D-manno-heptose + alpha-Hep-(1->3)-4-O-phospho-alpha-Hep-(1->5)-[alpha-Kdo-(2->4)]-alpha-Kdo-(2->6)-lipid A (E. coli)  <-->  (heptosyl)3-Kdo2-lipid A-phosphate (E. coli) + ADP + H+	LIPA-CORESYN-PWY																1*EG11341-MONOMER
ENZRXN0-8113	D-<i>myo</i>-inositol (2,3,4,5) pentakisphosphate phosphohydrolase	D-myo-inositol (1,2,3,4,5)-pentakisphosphate[periplasmic space] + H2O[periplasmic space]  <-->  D-myo-inositol (2,3,4,5) tetrakisphosphate[periplasmic space] + phosphate[periplasmic space]																	2*APPA-MONOMER
LYXK-ENZRXN	L-xylulose kinase	L-xylulose + ATP  <-->  L-xylulose 5-phosphate + ADP + H+	LYXMET-PWY				MG+2												2*LYXK-MONOMER
